Gene1	Gene2	Chromosome1	Chromosome2	Breakpoint1	Breakpoint2	FusionStrand1	FusionStrand2	GeneStrand1	GeneStrand2	type	site1	site2	transcript_id1	transcript_id2	reading_frame	5p_role	3p_role
JMJD1C	LINC01511	10	5	63176297	1355535	-	-	-	-	translocation	CDS/splice-site	exon/splice-site	ENST00000399262	ENST00000653645	out-of-frame	[]	[]
BTAF1	ZNF780B	10	19	91997751	40048796	+	-	+	-	translocation	CDS/splice-site	CDS/splice-site	ENST00000265990	ENST00000221355	out-of-frame	[]	[]
PDCD6IP	AC093928.1	3	3	33854013	57298026	+	+	+	+	deletion	CDS/splice-site	exon/splice-site	ENST00000457054	ENST00000656348	out-of-frame	[]	[]
FAM13C	CTNNA3	10	10	59352270	65920617	-	-	-	-	duplication	CDS/splice-site	CDS/splice-site	ENST00000621119	ENST00000433211	in-frame	[]	[]
MAX	TRHDE	14	12	65093708	72286681	-	+	-	+	translocation	CDS/splice-site	CDS/splice-site	ENST00000651648	ENST00000261180	out-of-frame	['Cancer', 'Tumour Suppressor']	[]
NOX4	AP003400.1	11	11	89440688	89589698	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000527956	.	out-of-frame	[]	[]
AGTPBP1	GOLM1	9	9	85712502	86079341	-	-	-	-	duplication	CDS/splice-site	5'UTR/splice-site	ENST00000357081	ENST00000388711	out-of-frame	[]	[]
ERBB2	CDK12	17	17	39688800	39470879	+	+	+	+	duplication	5'UTR/splice-site	CDS/splice-site	ENST00000584601	ENST00000447079	.	['Actionable', 'Kinases', 'Cancer']	['Kinases', 'Cancer', 'Tumour Suppressor']
NOX4	AP003400.1	11	11	89400017	89589698	-	-	-	-	duplication	CDS/splice-site	intergenic	ENST00000527956	ENST00000528319	out-of-frame	[]	[]
ARMC4	EPHA3	10	3	27860625	89395837	-	+	-	+	translocation	CDS/splice-site	CDS/splice-site	ENST00000673384	ENST00000336596	out-of-frame	[]	['Kinases', 'Cancer']
SHQ1	AC097634.4	3	3	72792916	71728623	-	-	-	-	deletion	CDS/splice-site	5'UTR/splice-site	ENST00000325599	ENST00000647725	out-of-frame	[]	[]
KIF5B	ARHGAP12	10	10	32033845	31854206	-	-	-	-	deletion/read-through	CDS/splice-site	CDS/splice-site	ENST00000302418	ENST00000396144	in-frame	['Druggable', 'Cancer']	[]
ATXN10	FBLN1	22	22	45702847	45574511	+	+	+	+	duplication	CDS/splice-site	CDS/splice-site	ENST00000381061	ENST00000327858	in-frame	[]	[]
GTF2H1	LDHC	11	11	18333228	18434740	+	+	+	+	deletion/read-through	CDS/splice-site	CDS/splice-site	ENST00000265963	ENST00000541669	in-frame	[]	[]
PPP4R2	AC097634.4	3	3	72998158	71493555	+	-	+	-	inversion	CDS/splice-site	CDS/splice-site	ENST00000356692	ENST00000647725	out-of-frame	[]	[]
ZC3H15	ITGAV	2	2	186495334	186602021	+	+	+	+	deletion/read-through	CDS/splice-site	CDS/splice-site	ENST00000337859	ENST00000261023	out-of-frame	[]	['Cancer']
ANKRD13A	IFT81	12	12	109999784	110190920	+	+	+	+	deletion/read-through	CDS/splice-site	CDS/splice-site	ENST00000261739	ENST00000552912	in-frame	[]	[]
AKAP8L	BRD4	19	19	15397150	15273133	-	-	-	-	deletion/read-through	CDS/splice-site	5'UTR/splice-site	ENST00000595465	ENST00000360016	out-of-frame	[]	['Kinases', 'Cancer']
MRPL21	IRAG1-AS1	11	11	68892890	10594117	-	+	-	+	inversion	CDS/splice-site	exon/splice-site	ENST00000362034	ENST00000529829	out-of-frame	[]	[]
EPB41L4A	NREP	5	5	112168739	111735507	-	-	-	-	deletion	CDS/splice-site	CDS/splice-site	ENST00000261486	ENST00000450761	in-frame	[]	[]
PPP4R2	NCEH1	3	3	72998158	172645692	+	-	+	-	inversion	CDS/splice-site	CDS/splice-site	ENST00000356692	ENST00000475381	out-of-frame	[]	[]
PPP4R2	NCEH1	3	3	72998158	172648114	+	-	+	-	inversion	CDS/splice-site	CDS/splice-site	ENST00000356692	ENST00000475381	out-of-frame	[]	[]
ADD1	SH3BP2	4	4	2844024	2822935	+	+	+	+	duplication	5'UTR/splice-site	CDS/splice-site	ENST00000398125	ENST00000503393	.	[]	[]
SKI	RER1	1	1	2229735	2395784	+	+	+	+	deletion/read-through	CDS/splice-site	5'UTR/splice-site	ENST00000378536	ENST00000378513	out-of-frame	['Cancer']	[]
NR1D1	CRLF3	17	17	40100064	30804108	-	-	-	-	deletion	CDS/splice-site	CDS/splice-site	ENST00000246672	ENST00000324238	out-of-frame	[]	[]
AC012618.3	GRAMD1A	19	19	12195143	35021502	+	+	+	+	deletion	exon/splice-site	CDS/splice-site	ENST00000426044	ENST00000599564	.	[]	[]
AC093227.2	AC093063.1	19	19	37709696	39694464	-	+	-	+	inversion	CDS/splice-site	exon/splice-site	ENST00000586606	ENST00000599317	out-of-frame	[]	[]
ZNF529	WDR62	19	19	36572333	36081433	-	+	-	+	inversion	CDS/splice-site	CDS/splice-site	ENST00000591340	ENST00000401500	out-of-frame	[]	[]
LSM14A	OR1I1	19	19	34215661	15087053	+	+	+	+	duplication	CDS/splice-site	5'UTR/splice-site	ENST00000544216	ENST00000641398	out-of-frame	['Cancer']	[]
TMTC1	DUSP16	12	12	29556857	12500682	-	-	-	-	deletion	CDS/splice-site	CDS/splice-site	ENST00000256062	ENST00000298573	out-of-frame	[]	[]
PSMD8	FRG1JP	19	9	38382228	63837832	+	-	+	-	translocation	CDS/splice-site	exon/splice-site	ENST00000215071	ENST00000376334	out-of-frame	[]	[]
ADGRA3	AC017091.1	4	4	22413182	58851205	-	-	-	-	duplication	CDS/splice-site	exon/splice-site	ENST00000334304	ENST00000510371	out-of-frame	[]	[]
AC097520.2	GRID2	4	4	92185175	92590131	+	+	+	+	deletion	exon/splice-site	CDS/splice-site	ENST00000662528	ENST00000282020	.	[]	[]
NF1	KCNJ16	17	17	31360703	70100658	+	+	+	+	deletion	CDS/splice-site	5'UTR/splice-site	ENST00000356175	ENST00000588112	out-of-frame	['Cancer', 'Tumour Suppressor']	[]
ADGRL1	CACNA1A	19	19	14183533	13245265	-	-	-	-	deletion	CDS/splice-site	CDS/splice-site	ENST00000340736	ENST00000635895	out-of-frame	[]	[]
IGSF23	RAB36	19	22	44627573	23160879	+	+	+	+	translocation	CDS/splice-site	CDS/splice-site	ENST00000402988	ENST00000263116	out-of-frame	[]	[]
BCR	IGSF23	22	19	23182239	44623703	+	+	+	+	translocation	CDS/splice-site	CDS/splice-site	ENST00000305877	ENST00000428245	out-of-frame	['Druggable', 'Kinases', 'Cancer']	[]
ZFAND3	FP236383.3	6	21	37820016	8405960	+	+	+	+	translocation	CDS/splice-site	exon/splice-site	ENST00000287218	ENST00000623860	out-of-frame	[]	[]
SPON1	FAR1	11	11	13982953	13727556	+	+	+	+	duplication	CDS/splice-site	CDS/splice-site	ENST00000576479	ENST00000354817	in-frame	[]	[]
FCHO2	TNPO1	5	5	72956129	72877228	+	+	+	+	duplication	CDS/splice-site	CDS/splice-site	ENST00000430046	ENST00000337273	in-frame	[]	[]
RFX2	AKT2	19	19	6047407	40242687	-	-	-	-	duplication	CDS/splice-site	CDS/splice-site	ENST00000303657	ENST00000391844	in-frame	[]	['Kinases', 'Cancer']
TMEM170B	AL445430.2	6	6	11565836	11487565	+	+	+	+	duplication	CDS/splice-site	exon/splice-site	ENST00000379426	ENST00000423149	out-of-frame	[]	[]
WIPF2	EP300	17	22	40265146	41154995	+	+	+	+	translocation	CDS/splice-site	CDS/splice-site	ENST00000323571	ENST00000263253	in-frame	[]	['Cancer', 'Tumour Suppressor']
ORC2	FAM126B	2	2	200957401	201024039	-	-	-	-	duplication	CDS/splice-site	5'UTR/splice-site	ENST00000234296	ENST00000418596	out-of-frame	[]	[]
COMT	ARVCF	22	22	19964299	19973036	+	-	+	-	inversion	CDS/splice-site	CDS/splice-site	ENST00000361682	ENST00000263207	out-of-frame	[]	[]
SLC5A1	LINC02558	22	22	32050014	32037111	+	+	+	+	duplication	CDS/splice-site	exon/splice-site	ENST00000266088	ENST00000658411	out-of-frame	[]	[]
ARMCX5-GPRASP2	LUZP4	X	X	102605653	115301992	+	+	+	+	deletion	exon/splice-site	CDS/splice-site	ENST00000602463	ENST00000371920	.	[]	[]
SPON1	FAR1	11	11	13982953	13707900	+	+	+	+	duplication	CDS/splice-site	CDS/splice-site	ENST00000576479	ENST00000354817	out-of-frame	[]	[]
NAPEPLD	DNAJC2	7	7	103148811	103327754	-	-	-	-	duplication	5'UTR/splice-site	CDS/splice-site	ENST00000341533	ENST00000379263	.	[]	[]
WT1	CCDC73	11	11	32416490	32805014	-	-	-	-	duplication	CDS/splice-site	intergenic	ENST00000452863	ENST00000531481	.	['Cancer', 'Tumour Suppressor']	[]
SLC39A13	C11orf49	11	11	47410395	46987208	+	+	+	+	duplication	CDS/splice-site	CDS/splice-site	ENST00000533076	ENST00000378618	in-frame	[]	[]
DNAJB6	AC006372.1	7	7	157358637	157502984	+	+	+	+	deletion/read-through	CDS/splice-site	exon/splice-site	ENST00000262177	ENST00000449903	out-of-frame	[]	[]
RAD23A	LIG1	19	19	12952853	48153967	+	-	+	-	inversion	CDS/splice-site	CDS/splice-site	ENST00000316856	ENST00000263274	out-of-frame	[]	[]
CYRIB	CCDC26	8	8	129871375	129102389	-	-	-	-	deletion	CDS/splice-site	exon/splice-site	ENST00000519110	ENST00000676407	out-of-frame	[]	[]
MARK4	AC008764.4	19	19	45287664	16654125	+	-	+	-	inversion	CDS/splice-site	CDS/splice-site	ENST00000262891	ENST00000594509	out-of-frame	['Kinases', 'Cancer']	[]
ZNF536	LINC01855	19	19	30284141	16066105	+	+	+	+	duplication	5'UTR/splice-site	exon/splice-site	ENST00000585628	ENST00000585520	.	[]	[]
ZNF440	AC008750.6	19	19	11814450	51403491	+	+	+	+	deletion	CDS/splice-site	exon	ENST00000304060	ENST00000600765	out-of-frame	[]	[]
ZNF440	AC008750.1	19	19	11814450	51414320	+	+	+	+	deletion	CDS/splice-site	exon	ENST00000304060	ENST00000532473	out-of-frame	[]	[]
ZNF100	AC123912.4	19	19	21765694	21571539	-	-	-	-	deletion/read-through	CDS/splice-site	exon/splice-site	ENST00000358296	ENST00000662322	out-of-frame	[]	[]
ZNF536	TPM4	19	19	30284141	16067534	+	+	+	+	duplication	5'UTR/splice-site	5'UTR/splice-site	ENST00000585628	ENST00000589897	.	[]	['Druggable', 'Cancer']
ZNF440	AC008750.6	19	19	11814450	51403200	+	+	+	+	deletion	CDS/splice-site	exon/splice-site	ENST00000304060	ENST00000600765	out-of-frame	[]	[]
AC011478.1	POP4	19	19	30665558	29608657	-	+	-	+	inversion	exon	CDS/splice-site	ENST00000593140	ENST00000585603	.	[]	[]
ECI1	NTHL1	16	16	2251316	2043726	-	-	-	-	deletion/read-through	CDS/splice-site	CDS/splice-site	ENST00000301729	ENST00000219066	out-of-frame	[]	['Cancer', 'Tumour Suppressor']
PSME4	PPP1R21	2	2	53919151	48451008	-	+	-	+	inversion	CDS/splice-site	CDS/splice-site	ENST00000404125	ENST00000449090	out-of-frame	[]	[]
ACBD6	CEP350	1	1	180314692	180092614	-	+	-	+	inversion	CDS/splice-site	CDS/splice-site	ENST00000642319	ENST00000367607	in-frame	['Cancer']	[]
RYBP	LINC00877	3	3	72446496	72275352	-	-	-	-	deletion/read-through	CDS/splice-site	exon/splice-site	ENST00000477973	ENST00000626474	.	[]	[]
NADK2	CPLANE1	5	5	36200227	37115049	-	-	-	-	duplication	CDS/splice-site	CDS/splice-site	ENST00000381937	ENST00000508244	in-frame	[]	[]
NUBPL	AKAP6	14	14	31673574	32773678	+	+	+	+	deletion	CDS/splice-site	CDS/splice-site	ENST00000281081	ENST00000280979	in-frame	[]	[]
SEMA3F	RBM6	3	3	50176861	50065031	+	+	+	+	duplication	CDS/splice-site	CDS/splice-site	ENST00000002829	ENST00000442092	out-of-frame	[]	[]
DMKN	TOMM40	19	19	35509911	44900730	-	+	-	+	inversion	CDS/splice-site	CDS/splice-site	ENST00000465927	ENST00000252487	.	[]	[]
SYNE4	ZNF225	19	19	36005333	44130850	-	+	-	+	inversion	CDS/splice-site	CDS/splice-site	ENST00000324444	ENST00000262894	out-of-frame	[]	[]
NFIX	ZNF333	19	19	13095729	14705054	+	+	+	+	deletion	3'UTR	CDS/splice-site	ENST00000592199	ENST00000540689	.	['Cancer']	[]
DMKN	TOMM40	19	19	35510184	44900730	-	+	-	+	inversion	CDS/splice-site	CDS/splice-site	ENST00000490622	ENST00000252487	stop-codon	[]	[]
DMKN	TOMM40	19	19	35509911	44900730	-	+	-	+	inversion	CDS/splice-site	CDS/splice-site	ENST00000490622	ENST00000252487	stop-codon	[]	[]
MAG	FBXO27	19	19	35310643	39014547	+	-	+	-	inversion	CDS/splice-site	CDS/splice-site	ENST00000361922	ENST00000598394	out-of-frame	[]	[]
ANKRD27	AC011474.1	19	19	32675071	29396951	-	-	-	-	deletion	5'UTR/splice-site	exon/splice-site	ENST00000306065	ENST00000582581	.	[]	[]
BMPR1B	PDLIM5	4	4	94875900	94618004	+	+	+	+	duplication	5'UTR/splice-site	CDS/splice-site	ENST00000515059	ENST00000615540	.	['Kinases']	[]
PPFIBP1	SMCO2	12	12	27524365	27474786	+	+	+	+	duplication	5'UTR/splice-site	CDS/splice-site	ENST00000545381	ENST00000298876	.	['Cancer']	[]
USP54	KCNMA1	10	10	73571421	77404023	-	-	-	-	duplication	CDS/splice-site	CDS/splice-site	ENST00000339859	ENST00000638991	in-frame	[]	[]
USP54	KCNMA1	10	10	73571421	77587871	-	-	-	-	duplication	CDS/splice-site	CDS/splice-site	ENST00000339859	ENST00000638506	out-of-frame	[]	[]
BMPR1B	PDLIM5	4	4	94996134	94618004	+	+	+	+	duplication	5'UTR/splice-site	CDS/splice-site	ENST00000515059	ENST00000615540	.	['Kinases']	[]
DIS3L2	FP671120.4	2	21	232163632	8222961	+	+	+	+	translocation	CDS/splice-site	exon/splice-site	ENST00000273009	ENST00000623664	out-of-frame	[]	[]
PARP11	NECAP1	12	12	3863836	8081861	-	+	-	+	inversion	5'UTR/splice-site	5'UTR/splice-site	ENST00000427057	ENST00000639955	.	[]	[]
PARP11	NECAP1	12	12	3873212	8081861	-	+	-	+	inversion	CDS/splice-site	5'UTR/splice-site	ENST00000416739	ENST00000639955	out-of-frame	[]	[]
USP54	KCNMA1	10	10	73571421	77404023	-	-	-	-	duplication	CDS/splice-site	CDS/splice-site	ENST00000433394	ENST00000638991	in-frame	[]	[]
NUMA1	OR5K1	11	3	72035902	98469566	-	+	-	+	translocation	CDS/splice-site	5'UTR/splice-site	ENST00000613205	ENST00000642057	out-of-frame	['Cancer']	[]
LINC02159	ATP10B	5	5	160935990	160785803	-	-	-	-	deletion/read-through	exon/splice-site	5'UTR/splice-site	ENST00000518580	ENST00000520098	.	[]	[]
NUMA1	AC117473.1	11	3	72035902	98457695	-	+	-	+	translocation	CDS/splice-site	exon/splice-site	ENST00000613205	ENST00000508616	out-of-frame	['Cancer']	[]
NUMA1	AC021660.2	11	3	72035902	98525211	-	+	-	+	translocation	CDS/splice-site	exon/splice-site	ENST00000613205	ENST00000502999	out-of-frame	['Cancer']	[]
IRF7	ZFP2	11	5	614476	178931237	-	+	-	+	translocation	CDS/splice-site	5'UTR/splice-site	ENST00000525445	ENST00000361362	out-of-frame	[]	[]
AGO2	TRAPPC9	8	8	140635485	140451383	-	-	-	-	deletion/read-through	CDS/splice-site	5'UTR/splice-site	ENST00000220592	ENST00000648948	out-of-frame	[]	[]
NR6A1	CHRNB4	9	15	124733308	78631332	-	-	-	-	translocation	CDS/splice-site	CDS/splice-site	ENST00000487099	ENST00000261751	out-of-frame	[]	[]
CERS6	AC087633.2	2	15	168631042	95152710	+	+	+	+	translocation	CDS/splice-site	exon/splice-site	ENST00000392687	ENST00000616940	out-of-frame	[]	[]
NOX4	AP003400.1	11	11	89440688	89589698	-	-	-	-	duplication	CDS/splice-site	intergenic	ENST00000527956	ENST00000528319	out-of-frame	[]	[]
MAPRE2	AL354810.1	18	13	35070322	63097340	+	+	+	+	translocation	CDS/splice-site	exon/splice-site	ENST00000300249	ENST00000658907	out-of-frame	[]	[]
GALNT13	LRMDA	2	10	154301589	76557209	+	+	+	+	translocation	CDS/splice-site	CDS/splice-site	ENST00000392825	ENST00000611255	out-of-frame	[]	[]
IRF7	ZFP2	11	5	614797	178931237	-	+	-	+	translocation	CDS/splice-site	5'UTR/splice-site	ENST00000525445	ENST00000361362	in-frame	[]	[]
ANXA7	DYM	10	18	73396519	49391645	-	-	-	-	translocation	CDS/splice-site	CDS/splice-site	ENST00000372921	ENST00000675505	out-of-frame	[]	[]
MED31	TVP23C-CDRT4	17	17	6650356	15547148	-	-	-	-	duplication	CDS/splice-site	CDS/splice-site	ENST00000225728	ENST00000522212	out-of-frame	[]	[]
PPP2R3A	TMEM108-AS1	3	3	136106322	133253452	+	-	+	-	inversion	CDS/splice-site	exon/splice-site	ENST00000264977	ENST00000505721	out-of-frame	[]	[]
SETD5	LINC00698	3	3	9441741	62985036	+	+	+	+	deletion	CDS/splice-site	exon/splice-site	ENST00000402198	ENST00000475886	out-of-frame	[]	[]
CDK2AP1	MALSU1	12	7	123265196	23300839	-	+	-	+	translocation	CDS/splice-site	CDS/splice-site	ENST00000652466	ENST00000466681	in-frame	[]	[]
AL451062.2	AKAP9	1	7	43650252	92029895	+	+	+	+	translocation	5'UTR/splice-site	CDS/splice-site	ENST00000645057	ENST00000356239	.	[]	['Cancer']
JADE3	SNX6	X	14	46912719	34609742	+	-	+	-	translocation	5'UTR/splice-site	CDS/splice-site	ENST00000614628	ENST00000362031	.	[]	[]
SPON1	RRAS2	11	11	14135568	14295855	+	-	+	-	inversion	CDS/splice-site	CDS/splice-site	ENST00000576479	ENST00000537760	in-frame	[]	[]
KIAA1217	HTR7	10	10	24239337	90749594	+	-	+	-	inversion	5'UTR/splice-site	CDS/splice-site	ENST00000438429	ENST00000336152	.	[]	[]
KIAA1217	HTR7	10	10	24219909	90749594	+	-	+	-	inversion	CDS/splice-site	CDS/splice-site	ENST00000376462	ENST00000336152	out-of-frame	[]	[]
TLE1	RNA5SP287	9	9	81685676	81819820	-	+	-	.	inversion	CDS/splice-site	intergenic	ENST00000376499	.	out-of-frame	[]	[]
TLE1	AL591368.1	9	9	81685676	81819820	-	+	-	.	inversion	CDS/splice-site	intergenic	ENST00000376499	.	out-of-frame	[]	[]
ITGAV	PPIAP65	2	2	186652218	129656808	+	+	+	.	duplication	intron	intergenic	ENST00000261023	.	stop-codon	['Cancer']	[]
ITGAV	LINC02572	2	2	186652218	129656808	+	+	+	.	duplication	intron	intergenic	ENST00000261023	.	stop-codon	['Cancer']	[]
FRY	TMEFF2	13	2	31946181	192571737	+	+	+	.	translocation	CDS/splice-site	intergenic	ENST00000647500	.	out-of-frame	[]	[]
FRY	AC062039.1	13	2	31946181	192571737	+	+	+	.	translocation	CDS/splice-site	intergenic	ENST00000647500	.	out-of-frame	[]	[]
MTMR8	ASB12	X	X	64395340	64225674	-	-	-	-	deletion/read-through	CDS/splice-site	5'UTR/splice-site	ENST00000374852	ENST00000362002	in-frame	[]	[]
MBD5	RPS29P8	2	2	148472523	148634041	+	+	+	.	deletion/read-through	intron	intergenic	ENST00000627651	.	.	[]	[]
MBD5	EPC2	2	2	148472523	148634041	+	+	+	.	deletion/read-through	intron	intergenic	ENST00000627651	.	.	[]	[]
GRB7	CDK12	17	17	39753110	39509705	+	+	+	+	duplication	intergenic	CDS/splice-site	.	ENST00000447079	.	[]	['Kinases', 'Cancer', 'Tumour Suppressor']
TMEM87B	RXFP2	2	13	112107840	31557262	+	-	+	.	translocation	CDS/splice-site	intergenic	ENST00000283206	.	out-of-frame	[]	[]
TMEM87B	AL161616.1	2	13	112107840	31557262	+	-	+	.	translocation	CDS/splice-site	intergenic	ENST00000283206	.	out-of-frame	[]	[]
AC026333.3	KNTC1	12	12	122666475	122594276	+	+	+	+	duplication	intergenic	CDS/splice-site	.	ENST00000333479	.	[]	[]
AC026333.4	KNTC1	12	12	122666475	122594276	+	+	+	+	duplication	intergenic	CDS/splice-site	.	ENST00000333479	.	[]	[]
NFYC	PCBP3	1	21	40691867	45728676	+	+	+	+	translocation	5'UTR/splice-site	exon/splice-site	ENST00000467203	ENST00000465077	.	[]	[]
AC015688.4	LGALS9DP	17	17	27640756	27748311	+	+	+	+	deletion/read-through	3'UTR	exon	ENST00000584605	ENST00000580112	.	[]	[]
EIF4G2	R3HDM2	11	12	10802053	57254646	-	-	-	-	translocation	CDS	3'UTR	ENST00000339995	ENST00000347140	.	[]	[]
CPAMD8	PDE4C	19	19	17015398	18221369	-	-	-	-	duplication	intron	intron	.	ENST00000594617	.	[]	[]
FAS	SYNPO	10	5	89012081	150579667	+	+	+	.	translocation	CDS/splice-site	intergenic	ENST00000652046	.	out-of-frame	['Cancer', 'Tumour Suppressor']	[]
FAS	NDST1	10	5	89012081	150579667	+	+	+	.	translocation	CDS/splice-site	intergenic	ENST00000652046	.	out-of-frame	['Cancer', 'Tumour Suppressor']	[]
CPAMD8	HAUS8	19	19	16914424	17042319	-	-	-	.	duplication	CDS/splice-site	intergenic	ENST00000651564	.	out-of-frame	[]	[]
SMARCA1	Z75741.1	X	X	129487018	127942593	-	-	-	.	deletion	CDS/splice-site	intergenic	ENST00000371122	.	out-of-frame	[]	[]
NDUFA13	OR10H4	19	19	19516332	15977697	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000503283	.	out-of-frame	[]	[]
AC108676.1	CYP1A2	3	15	194498489	74728243	-	+	-	.	translocation	exon	intergenic	ENST00000455557	.	.	[]	[]
AC108676.1	CYP1A1	3	15	194498489	74728243	-	+	-	.	translocation	exon	intergenic	ENST00000455557	.	.	[]	[]
MYO9B	ANKLE1	19	19	17203258	17285431	+	+	+	+	deletion/read-through	CDS/splice-site	CDS/splice-site	ENST00000595618	ENST00000404261	in-frame	[]	[]
LINC00472	OGFRL1	6	6	71416410	71301386	-	+	-	+	inversion	exon/splice-site	CDS/splice-site	ENST00000436803	ENST00000370435	.	[]	[]
AC011448.1	CYP4F9P	19	19	19516332	15977697	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000555938	.	out-of-frame	[]	[]
AC011448.1	OR10H4	19	19	19516332	15977697	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000555938	.	out-of-frame	[]	[]
NDUFA13	CYP4F9P	19	19	19516332	15977697	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000503283	.	out-of-frame	[]	[]
SMARCA1	AL008633.1	X	X	129487018	127942593	-	-	-	.	deletion	CDS/splice-site	intergenic	ENST00000371122	.	out-of-frame	[]	[]
CACNA1B	BASP1	9	5	138058733	16976319	+	+	+	.	translocation	CDS/splice-site	intergenic	ENST00000371372	.	out-of-frame	[]	[]
CACNA1B	RNU6-660P	9	5	138058733	16976319	+	+	+	.	translocation	CDS/splice-site	intergenic	ENST00000371372	.	out-of-frame	[]	[]
SHKBP1	SIPA1L3	19	19	40580936	38054808	+	+	+	+	duplication	CDS/splice-site	intron	ENST00000600733	.	out-of-frame	[]	[]
SIPA1L3	AC011507.1	19	19	38029156	30734958	+	-	+	.	inversion	5'UTR/splice-site	intergenic	ENST00000222345	.	.	[]	[]
SIPA1L3	ZNF536	19	19	38029156	30734958	+	-	+	.	inversion	5'UTR/splice-site	intergenic	ENST00000222345	.	.	[]	[]
MYO9B	ANKLE1	19	19	17203258	17285431	+	+	+	+	deletion/read-through	CDS/splice-site	CDS/splice-site	ENST00000593533	ENST00000394458	.	[]	[]
RIOK1	RREB1	6	6	7411387	7058539	+	+	+	.	duplication	CDS	intergenic	ENST00000379834	.	out-of-frame	['Kinases']	[]
RIOK1	AL139390.1	6	6	7411387	7058539	+	+	+	.	duplication	CDS	intergenic	ENST00000379834	.	out-of-frame	['Kinases']	[]
DAZAP1	GRIN3B	19	19	1433329	1009594	+	+	+	+	duplication	exon	CDS	ENST00000589874	ENST00000234389	.	[]	[]
IREB2	AC011270.1	15	15	78494789	78411980	+	+	+	.	duplication	intron	intergenic	ENST00000258886	.	.	[]	[]
EWSR1	DUXAP9	22	14	29288728	19081655	+	+	+	+	translocation	CDS	intron	ENST00000397938	.	out-of-frame	['Cancer']	[]
TPX2	AL121723.1	20	20	31801081	31275703	+	+	+	.	duplication	3'UTR	intergenic	ENST00000340513	.	.	[]	[]
TPX2	DKKL1P1	20	20	31801081	31275703	+	+	+	.	duplication	3'UTR	intergenic	ENST00000340513	.	.	[]	[]
LIMK1	VPS37D	7	7	74111707	73659964	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000418310	.	out-of-frame	['Kinases']	[]
LIMK1	MLXIPL	7	7	74111707	73659964	+	+	+	.	duplication	CDS/splice-site	intergenic	ENST00000418310	.	out-of-frame	['Kinases']	[]
BMPR1B	PDLIM5	4	4	94996384	94618004	+	+	+	+	duplication	5'UTR/splice-site	CDS/splice-site	ENST00000512312	ENST00000615540	.	['Kinases']	[]
IREB2	AC011270.1	15	15	78494789	78411980	+	+	+	.	duplication	intron	intergenic	.	.	.	[]	[]
FOXM1	KLRG1	12	12	2857988	8982317	-	+	-	+	inversion	3'UTR	intron	ENST00000359843	.	.	[]	[]
TMEM255B	GRTP1	13	13	113812430	113373172	+	+	+	.	duplication	3'UTR	intergenic	ENST00000375353	.	.	[]	[]
TMEM255B	ADPRHL1	13	13	113812430	113373172	+	+	+	.	duplication	3'UTR	intergenic	ENST00000375353	.	.	[]	[]
FNBP4	OR4C4P	11	11	47753483	48347102	-	-	-	-	duplication	intron	intron	ENST00000263773	.	.	[]	[]
FDFT1	AC107918.5	8	8	11802931	11943722	+	+	+	.	deletion/read-through	CDS/splice-site	intergenic	ENST00000618539	.	out-of-frame	[]	[]
FDFT1	AC107918.6	8	8	11802931	11943722	+	+	+	.	deletion/read-through	CDS/splice-site	intergenic	ENST00000618539	.	out-of-frame	[]	[]
HNRNPC	RNASE1	14	14	21230319	20825477	-	-	-	.	deletion	CDS/splice-site	intergenic	ENST00000336053	.	out-of-frame	[]	[]
HNRNPC	AL133371.3	14	14	21230319	20825477	-	-	-	.	deletion	CDS/splice-site	intergenic	ENST00000336053	.	out-of-frame	[]	[]
CHD8	HNRNPC	14	14	21394277	21284885	-	-	-	.	deletion/read-through	CDS/splice-site	intergenic	ENST00000646647	.	out-of-frame	[]	[]
CHD8	RPGRIP1	14	14	21394277	21284885	-	-	-	.	deletion/read-through	CDS/splice-site	intergenic	ENST00000646647	.	out-of-frame	[]	[]
AC092073.1	PARVG	19	22	34396657	44192049	+	+	+	+	translocation	CDS/splice-site	CDS/splice-site	ENST00000592740	ENST00000422871	.	[]	[]
RNASE1	ABLIM1	14	10	20808126	114444400	-	-	-	-	translocation	intergenic	intron	.	ENST00000533213	.	[]	[]
AL133371.3	ABLIM1	14	10	20808126	114444400	-	-	-	-	translocation	intergenic	intron	.	ENST00000533213	.	[]	[]
NIPA2	WHAMMP3	15	15	22867482	22684793	+	+	+	+	duplication	3'UTR	exon	ENST00000398014	ENST00000621139	.	[]	[]
ENOX2	PRR32	X	X	130901684	127012437	-	-	-	.	deletion	5'UTR/splice-site	intergenic	ENST00000338144	.	.	[]	[]
ENOX2	Z82209.1	X	X	130901684	127012437	-	-	-	.	deletion	5'UTR/splice-site	intergenic	ENST00000338144	.	.	[]	[]
ZNF787	ZSCAN5B	19	19	56121172	56193179	-	-	-	-	duplication	5'UTR/splice-site	5'UTR/splice-site	ENST00000610935	ENST00000586855	.	[]	[]
SLC44A4	TGIF1	6	18	31864652	3443428	-	+	-	+	translocation	CDS/splice-site	intron	ENST00000375562	.	out-of-frame	[]	[]
